player_id,team_id,matches,goals,shirt_number,debut,coach_id,debut_game_id,career_state
1,9067,1,0,0,,,2633677.0,FORMER_NATIONAL_PLAYER
1,17368,8,3,0,,,,FORMER_NATIONAL_PLAYER
1,17662,14,8,18,,4275.0,2359032.0,FORMER_NATIONAL_PLAYER
10,3262,137,71,11,,680.0,972849.0,FORMER_NATIONAL_PLAYER
1000301,11946,6,1,16,,61445.0,4387649.0,RECENT_NATIONAL_PLAYER
1000301,28164,4,0,0,,61445.0,4310377.0,FORMER_NATIONAL_PLAYER
10003,3671,30,0,4,,689.0,2272856.0,FORMER_NATIONAL_PLAYER
1000273,11946,6,2,7,,61445.0,4387516.0,FORMER_NATIONAL_PLAYER
1000273,25514,8,5,7,,76250.0,4174450.0,RECENT_NATIONAL_PLAYER
1000273,28164,4,0,0,,61445.0,4357811.0,RECENT_NATIONAL_PLAYER
1000273,28437,4,0,11,,69203.0,3784007.0,FORMER_NATIONAL_PLAYER
1000273,34700,5,1,7,,61445.0,3968417.0,FORMER_NATIONAL_PLAYER
1000274,25514,18,2,15,,76250.0,4242532.0,FORMER_NATIONAL_PLAYER
10006,3375,3,0,0,,18125.0,2315679.0,FORMER_NATIONAL_PLAYER
10006,9567,9,0,0,,,4598502.0,FORMER_NATIONAL_PLAYER
10006,53824,0,0,0,,,,FORMER_NATIONAL_PLAYER
1000284,22976,0,0,21,,,,FORMER_NATIONAL_PLAYER
1000284,32270,0,0,7,,,,CURRENT_NATIONAL_PLAYER
10010,3375,2,0,0,,2661.0,1090596.0,FORMER_NATIONAL_PLAYER
10010,9567,7,0,0,,5218.0,2978404.0,FORMER_NATIONAL_PLAYER
10010,53824,3,1,0,,,,FORMER_NATIONAL_PLAYER
100127,16373,1,0,12,,10566.0,3909715.0,FORMER_NATIONAL_PLAYER
100127,16374,6,0,12,,10104.0,2815529.0,FORMER_NATIONAL_PLAYER
100128,16371,6,1,10,,79482.0,3921779.0,FORMER_NATIONAL_PLAYER
100128,16372,6,0,14,,2756.0,3905154.0,FORMER_NATIONAL_PLAYER
100128,16374,5,0,16,,10104.0,2267627.0,FORMER_NATIONAL_PLAYER
100128,23137,11,3,10,,16336.0,3921790.0,FORMER_NATIONAL_PLAYER
100128,31372,7,0,10,,16336.0,3877636.0,FORMER_NATIONAL_PLAYER
100131,3300,80,5,14,,2594.0,2372906.0,FORMER_NATIONAL_PLAYER
100131,16371,8,1,6,,79482.0,3921782.0,FORMER_NATIONAL_PLAYER
100131,16372,10,2,6,,2756.0,2780438.0,FORMER_NATIONAL_PLAYER
100131,16373,3,0,6,,10565.0,2193480.0,FORMER_NATIONAL_PLAYER
100131,16374,15,2,6,,10104.0,2267627.0,FORMER_NATIONAL_PLAYER
100131,23137,23,5,6,,,,FORMER_NATIONAL_PLAYER
100131,31372,2,0,6,,16336.0,3877634.0,FORMER_NATIONAL_PLAYER
100129,16371,6,0,17,,79482.0,3921782.0,FORMER_NATIONAL_PLAYER
